locus	chr	start	stop	h2.obs_psoriasis	p_psoriasis	fdr_within_pheno_psoriasis	h2.obs_outcome	p_outcome	fdr_within_pheno_outcome	outcome	local_h2_pass_p05	local_h2_pass_fdr10	min_h2_p
733	4	148462209	149998528	0.000300168	0.0403258	0.0670028676923077	0.000224126	2.27116e-09	3.37518133116883e-08	cad	TRUE	TRUE	0.0403258
1095	7	617320	1366972	0.000244891	0.0406037	0.0674127532667179	4.67654e-05	0.0345461	0.0513365371669916	cad	TRUE	TRUE	0.0406037
1137	7	40261241	41415925	0.000539169	0.0005703	0.00200953996737357	4.98788e-05	0.0411482	0.059447841692988	cad	TRUE	TRUE	0.0411482
264	2	56394699	57433653	0.00025588	0.0414791	0.068629617151608	6.49936e-05	0.0114309	0.0196264777027027	cad	TRUE	TRUE	0.0414791
613	4	13127577	14395886	0.0003303	0.0414955	0.068629617151608	0.000129327	0.000353317	0.00110351650068213	cad	TRUE	TRUE	0.0414955
838	5	75239303	75959515	0.000284223	0.041702	0.0688656880733945	7.26955e-05	0.0111297	0.019239322675737	cad	TRUE	TRUE	0.041702
1162	7	67474723	68569224	0.000528687	0.00172498	0.00499830361445783	5.59884e-05	0.041812	0.0603306271293375	cad	TRUE	TRUE	0.041812
772	4	187985394	189153279	0.000320806	0.0418993	0.0691386462948816	0.000142194	8.78897e-05	0.000331689346369637	cad	TRUE	TRUE	0.0418993
1516	10	27669567	28734422	0.000617544	0.000110062	0.000512357586206897	4.95638e-05	0.0420349	0.0606140077553594	cad	TRUE	TRUE	0.0420349
212	2	7966710	8978798	0.000408901	0.0172858	0.03310080425155	5.94917e-05	0.042067	0.0606220724637681	cad	TRUE	TRUE	0.042067
1309	8	73838028	75011699	0.00028973	0.0423284	0.0697401556064073	0.000229146	7.01614e-10	1.22487879236641e-08	cad	TRUE	TRUE	0.0423284
2388	20	17359291	18058524	0.000649517	0.000221759	0.000933722105263158	5.55723e-05	0.0423983	0.0610610277707809	cad	TRUE	TRUE	0.0423983
551	3	148638309	149998411	0.000332422	0.0424069	0.069816237804878	0.000249825	1.32954e-09	2.12633425174825e-08	cad	TRUE	TRUE	0.0424069
729	4	142807915	144401042	0.000553875	0.00023165	0.000967822050290135	4.67962e-05	0.042513	0.0611876847073631	cad	TRUE	TRUE	0.042513
103	1	117046312	118118667	0.000277686	0.0429024	0.0705244931506849	9.02701e-05	0.00247128	0.00544491075144509	cad	TRUE	TRUE	0.0429024
2398	20	30569660	32484506	0.000301336	0.0429648	0.0705733596958175	0.000130509	0.000134174	0.000481720467817896	cad	TRUE	TRUE	0.0429648
1789	12	50344347	51769419	0.000208999	0.0434052	0.0711884829157175	5.37051e-05	0.0119948	0.0204787196268657	cad	TRUE	TRUE	0.0434052
1615	11	4405708	4946051	0.000278824	0.0372517	0.0626448747081712	5.03162e-05	0.0434405	0.0623656142498431	cad	TRUE	TRUE	0.0434405
819	5	52139774	52837225	0.00023008	0.0435741	0.0713571311599697	9.37959e-05	0.0003853	0.00117888429278075	cad	TRUE	TRUE	0.0435741
524	3	118903054	119759983	0.000278118	0.0217395	0.0399636765957447	4.36273e-05	0.0438233	0.0628362928526646	cad	TRUE	TRUE	0.0438233
2209	17	45883902	47516224	0.000285613	0.0438868	0.0717603996971991	0.000489958	2.4976e-28	3.80800746666667e-26	cad	TRUE	TRUE	0.0438868
1641	11	28577719	29530460	0.000224754	0.0421025	0.0694209160305344	4.17616e-05	0.0444363	0.0635956308510638	cad	TRUE	TRUE	0.0444363
207	2	4016105	4766969	0.000404377	0.00609574	0.014358558778626	4.88597e-05	0.0446931	0.0638831998125	cad	TRUE	TRUE	0.0446931
2376	20	6128359	7231796	0.000315498	0.0447938	0.073077498489426	0.000117345	0.00075787	0.00208887140361446	cad	TRUE	TRUE	0.0447938
2170	16	87669169	88387228	0.000357188	0.0163302	0.0316351856502242	5.16107e-05	0.044865	0.0640888538413492	cad	TRUE	TRUE	0.044865
867	5	109606906	110819517	0.000227985	0.0449268	0.07318392760181	9.60802e-05	0.000267931	0.000876621168812589	cad	TRUE	TRUE	0.0449268
1900	13	59751796	61268155	0.000301407	0.045419	0.0737631879699248	0.000114793	0.000658205	0.00185612186806412	cad	TRUE	TRUE	0.045419
594	3	196383153	197147990	0.00029609	0.0230738	0.0421653197969543	4.62704e-05	0.0454938	0.0648116717932752	cad	TRUE	TRUE	0.0454938
2041	15	29141036	30604119	0.000997088	8.6707e-07	8.79282253521127e-06	5.82768e-05	0.0455127	0.0648116717932752	cad	TRUE	TRUE	0.0455127
2031	14	105091341	106347143	0.000501038	0.000225267	0.000944809165048544	3.93843e-05	0.045763	0.0650412856521739	cad	TRUE	TRUE	0.045763
1460	9	115390113	116159540	0.000280199	0.0458288	0.074316972972973	0.000110938	0.00048102	0.00141400095115681	cad	TRUE	TRUE	0.0458288
129	1	171044256	172465153	0.000356394	0.0177188	0.0337203594713656	5.276e-05	0.0459437	0.0652223723774053	cad	TRUE	TRUE	0.0459437
1262	8	17947005	18668609	0.000313321	0.0463191	0.0749994422788606	0.000186761	1.15434e-06	8.14643473846154e-06	cad	TRUE	TRUE	0.0463191
2186	17	12676354	13648446	0.000847518	4.14396e-05	0.000228545081632653	6.22847e-05	0.0465123	0.0658883991950465	cad	TRUE	TRUE	0.0465123
1103	7	7167611	7926500	0.000315722	0.0465169	0.0752069640718563	0.000143466	8.95807e-05	0.000337514103624382	cad	TRUE	TRUE	0.0465169
1911	13	71010209	71976862	0.000284753	0.0466001	0.0752851278982797	0.000142695	2.76286e-05	0.000119445384120983	cad	TRUE	TRUE	0.0466001
676	4	84003063	85437805	0.000291239	0.0466729	0.0753463856502242	5.44879e-05	0.0457643	0.0650412856521739	cad	TRUE	TRUE	0.0466729
1836	12	106153788	106964977	0.000322887	0.0244531	0.0441627892976589	5.11488e-05	0.0467568	0.0661712881188119	cad	TRUE	TRUE	0.0467568
1176	7	86446539	87836641	0.000244884	0.0467981	0.0754920806572069	8.18894e-05	0.00244469	0.00540193819323672	cad	TRUE	TRUE	0.0467981
1558	10	78665482	79952996	0.000305146	0.0468905	0.0755846865671642	6.14162e-05	0.0376467	0.0550498739769821	cad	TRUE	TRUE	0.0468905
1063	6	137553213	138825721	0.00470236	7.78784e-57	1.68217344e-54	5.99042e-05	0.0472886	0.0668825158936302	cad	TRUE	TRUE	0.0472886
420	2	241910367	243188366	0.00042187	0.00202266	0.00571166117647059	4.23404e-05	0.0473863	0.0669379049413218	cad	TRUE	TRUE	0.0473863
1166	7	73128831	75243899	0.000250063	0.0474436	0.0763622771982116	6.90893e-05	0.00833985	0.0151615556041335	cad	TRUE	TRUE	0.0474436
2437	21	21632917	22201890	0.000748029	1.40489e-05	9.36593333333333e-05	4.97313e-05	0.0475176	0.0670819451851852	cad	TRUE	TRUE	0.0475176
1241	8	4273084	4893120	0.000543296	0.00662139	0.0153787122580645	6.67814e-05	0.047595	0.0671497624922887	cad	TRUE	TRUE	0.047595
1357	8	132534637	133461551	0.000266345	0.0477857	0.0768445714285714	9.33338e-05	0.00178616	0.00416406515800204	cad	TRUE	TRUE	0.0477857
2406	20	42185672	43008890	0.000282708	0.0478144	0.0768445714285714	9.87744e-05	0.00170703	0.00402057426364573	cad	TRUE	TRUE	0.0478144
230	2	26894103	28819510	0.00028215	0.047939	0.0769875390334573	8.38156e-05	0.00586478	0.0112240601338912	cad	TRUE	TRUE	0.047939
2410	20	46486133	47203836	0.00029012	0.0452617	0.0736184277108434	5.35532e-05	0.0483811	0.0681375317118227	cad	TRUE	TRUE	0.0483811
2470	22	25282437	26166934	0.000282425	0.0433323	0.071122924012158	5.02202e-05	0.0483845	0.0681375317118227	cad	TRUE	TRUE	0.0483845
738	4	155044410	156520288	0.000286028	0.0486532	0.0779606172106825	0.000288691	3.65689e-13	1.21207354057971e-11	cad	TRUE	TRUE	0.0486532
2378	20	7959829	9279550	0.000329871	0.0487035	0.0779833654558932	9.10957e-05	0.00915014	0.0163615091321345	cad	TRUE	TRUE	0.0487035
1324	8	92876621	94999066	0.000337728	0.0346605	0.0591831462450593	5.77019e-05	0.0487806	0.068568673755378	cad	TRUE	TRUE	0.0487806
1345	8	118300069	119423298	0.000886673	1.22178e-06	1.1729088e-05	5.15571e-05	0.048894	0.0686858587223587	cad	TRUE	TRUE	0.048894
2337	19	30375793	31763008	0.00104761	2.18527e-07	2.76034105263158e-06	5.61373e-05	0.0489468	0.0687178217311234	cad	TRUE	TRUE	0.0489468
789	5	13608148	14910295	0.000384318	0.0239894	0.0434342866722548	5.97101e-05	0.0490294	0.0687915569325153	cad	TRUE	TRUE	0.0490294
1369	8	144934289	146303787	0.000422602	0.00202288	0.00571166117647059	4.20284e-05	0.0493143	0.0691488682403433	cad	TRUE	TRUE	0.0493143
2281	18	52512524	53762996	0.000255781	0.0494907	0.0789949010339734	0.000105456	0.000453837	0.00135499375848564	cad	TRUE	TRUE	0.0494907
1100	7	4938443	6020653	0.000290114	0.0495181	0.0789949010339734	0.000194079	1.29259e-07	1.19682321052632e-06	cad	TRUE	TRUE	0.0495181
803	5	30416067	31679464	0.000336645	0.0372679	0.0626448747081712	5.80941e-05	0.049922	0.0698724687882497	cad	TRUE	TRUE	0.049922
2384	20	14203756	15238519	0.000254329	0.0504096	0.0800623058823529	5.34323e-05	0.0352786	0.0521876831824062	cad	FALSE	TRUE	0.0504096
1885	13	42037055	42950157	0.000242118	0.0506898	0.0804481763409258	0.000109014	0.000197499	0.000674149571641791	cad	FALSE	TRUE	0.0506898
2234	17	77412787	78438332	0.00224798	6.50793e-21	4.39285275e-19	5.60101e-05	0.050705	0.0708816228606357	cad	FALSE	TRUE	0.050705
2255	18	20009697	21622716	0.000255169	0.0516367	0.0818908017621145	0.000243129	1.41387e-11	3.43991562765957e-10	cad	FALSE	TRUE	0.0516367
2425	20	59560458	60125333	0.000277706	0.0519439	0.0823175524578137	0.000104095	0.00104821	0.00275863782508631	cad	FALSE	TRUE	0.0519439
2093	15	93707011	94565521	0.000947248	1.07428e-05	7.5759009771987e-05	6.1638e-05	0.0519955	0.0724641733698964	cad	FALSE	TRUE	0.0519955
400	2	223353966	224123079	0.00022064	0.0521058	0.0824531340659341	6.4752e-05	0.00783279	0.014330872584	cad	FALSE	TRUE	0.0521058
1551	10	69904171	71050504	0.000943551	4.74626e-08	6.78935205298013e-07	4.52612e-05	0.0523347	0.0728481186244674	cad	FALSE	TRUE	0.0523347
2011	14	82524786	84087372	0.000503988	0.00356642	0.00915988965517241	5.47473e-05	0.0524239	0.0729278949513382	cad	FALSE	TRUE	0.0524239
1421	9	74950319	76197744	0.000218668	0.052487	0.0829955490483163	4.3195e-05	0.0444696	0.0636034866791745	cad	FALSE	TRUE	0.052487
405	2	228812486	229764918	0.000309251	0.00749325	0.0167377662874871	3.66434e-05	0.0525455	0.0730526191489362	cad	FALSE	TRUE	0.0525455
300	2	103305258	105120578	0.000260915	0.052641	0.0831487894736842	7.27633e-05	0.0102313	0.0178618191603053	cad	FALSE	TRUE	0.052641
1254	8	13395052	13948095	0.000254787	0.0526609	0.0831487894736842	8.89061e-05	0.00241508	0.00535721431619787	cad	FALSE	TRUE	0.0526609
1756	12	16136743	17374895	0.000423859	0.00733699	0.0164568	5.04439e-05	0.0528836	0.0734333899210686	cad	FALSE	TRUE	0.0528836
2390	20	18959420	19957928	0.00030824	0.0532463	0.0839929401459854	0.000163224	1.9374e-05	8.7913369047619e-05	cad	FALSE	TRUE	0.0532463
844	5	82720249	84094797	0.000283143	0.0532733	0.0839929401459854	5.38738e-05	0.0515194	0.0719321537240537	cad	FALSE	TRUE	0.0532733
373	2	189882703	191051954	0.000207857	0.0533937	0.0841213654266958	5.08713e-05	0.0202055	0.0323372837648705	cad	FALSE	TRUE	0.0533937
2058	15	51605478	53263126	0.000336465	0.0278661	0.049377174733388	5.24892e-05	0.0536291	0.074378260582171	cad	FALSE	TRUE	0.0536291
2134	16	52041337	53393882	0.00026388	0.0536589	0.0844751930080117	0.000137611	3.09967e-05	0.000131764782342007	cad	FALSE	TRUE	0.0536589
2224	17	66757557	68176219	0.000269133	0.0536965	0.0844751930080117	0.00016421	2.03174e-06	1.3125958700565e-05	cad	FALSE	TRUE	0.0536965
1147	7	50894509	51951647	0.000258987	0.0537809	0.0844849047272727	0.000102114	0.000889444	0.00241586511638955	cad	FALSE	TRUE	0.0537809
413	2	236276288	237194297	0.000268411	0.0360669	0.0610381832419734	4.46393e-05	0.0538153	0.0745912673333333	cad	FALSE	TRUE	0.0538153
453	3	33020869	33991869	0.000643988	1.22261e-05	8.30452075471698e-05	4.01287e-05	0.0539136	0.0745918954627949	cad	FALSE	TRUE	0.0539136
49	1	56799637	57529670	0.000251476	0.0539756	0.0847291395348837	0.000318699	1.11407e-16	6.0663764047619e-15	cad	FALSE	TRUE	0.0539756
38	1	41093876	41977966	0.000239286	0.054134	0.0849160784313726	8.61649e-05	0.00207235	0.0047065188182721	cad	FALSE	TRUE	0.054134
1006	6	73170169	74401506	0.000248635	0.0542088	0.0849717039187228	7.75226e-05	0.00572214	0.0109970875462185	cad	FALSE	TRUE	0.0542088
1891	13	48137480	49381727	0.000315775	0.0133323	0.0268635895522388	4.10642e-05	0.054604	0.0755014195888755	cad	FALSE	TRUE	0.054604
621	4	22835186	23858350	0.000230711	0.0519967	0.0823408152492669	4.27343e-05	0.0547637	0.0756307861714976	cad	FALSE	TRUE	0.0547637
1028	6	96480154	98173003	0.000248049	0.054797	0.0856496266280753	0.000105091	0.000470394	0.00138991095348837	cad	FALSE	TRUE	0.054797
1546	10	65400432	66510387	0.000217423	0.0547999	0.0856496266280753	8.47694e-05	0.00116661	0.00298772348264278	cad	FALSE	TRUE	0.0547999
21	1	19238925	20556202	0.000299728	0.0549986	0.0858980303687636	0.000231082	8.51862e-09	1.09759168707865e-07	cad	FALSE	TRUE	0.0549986
222	2	17241116	18656325	0.000283803	0.0551742	0.0861100231213873	0.00015682	1.31781e-05	6.38523616525424e-05	cad	FALSE	TRUE	0.0551742
394	2	217566012	218396258	0.00025448	0.0553576	0.086333874368231	0.00020346	7.0181e-09	9.22436477011494e-08	cad	FALSE	TRUE	0.0553576
1349	8	122622805	124001019	0.000412631	0.0141131	0.0280444305427783	5.49554e-05	0.0556785	0.0767551112115732	cad	FALSE	TRUE	0.0556785
2067	15	62106139	63218978	0.00064435	0.000660664	0.00223323042253521	5.59984e-05	0.0563228	0.0775965322891566	cad	FALSE	TRUE	0.0563228
1595	10	121874446	122803506	0.000846264	8.62718e-06	6.27431272727273e-05	5.22428e-05	0.0565165	0.0777712101083032	cad	FALSE	TRUE	0.0565165
325	2	133352951	134359059	0.000407674	0.010443	0.0219638558909445	5.08936e-05	0.0565176	0.0777712101083032	cad	FALSE	TRUE	0.0565176
1602	10	129134739	129831969	0.000300629	0.0566951	0.0882286858789625	0.000202121	3.4754e-07	2.83865707142857e-06	cad	FALSE	TRUE	0.0566951
2239	18	848351	1940211	0.000266828	0.0568656	0.0883666877697842	0.000109761	0.000652846	0.00184328247160494	cad	FALSE	TRUE	0.0568656
1542	10	59822947	61470383	0.000272363	0.0573682	0.0889966518305815	9.90849e-05	0.00204826	0.00466484282587065	cad	FALSE	TRUE	0.0573682
569	3	167118894	168972662	0.000268716	0.0575323	0.089146175035868	8.27452e-05	0.00676683	0.0126954390566038	cad	FALSE	TRUE	0.0575323
189	1	238704858	239332148	0.000277827	0.0276629	0.0491380460526316	4.22174e-05	0.0575375	0.0790794846754808	cad	FALSE	TRUE	0.0575375
834	5	68006994	71468651	0.000391479	0.0137486	0.0275737938718663	5.07344e-05	0.0575977	0.0791146786186186	cad	FALSE	TRUE	0.0575977
1016	6	83571954	85038134	0.000219246	0.0577635	0.0894402580645161	5.15361e-05	0.0268817	0.0411777949765573	cad	FALSE	TRUE	0.0577635
1284	8	41725003	43825633	0.000213335	0.0578801	0.0895566017191977	8.01908e-05	0.00144754	0.00357507989200864	cad	FALSE	TRUE	0.0578801
2097	15	98025685	98828261	0.000289302	0.0580726	0.0897901331424481	0.000106696	0.00167209	0.00396599383660807	cad	FALSE	TRUE	0.0580726
365	2	181309940	182307877	0.000213709	0.0582619	0.0899798914285714	6.40594e-05	0.00883477	0.0159277385106383	cad	FALSE	TRUE	0.0582619
254	2	48171059	49114132	0.000236737	0.0583203	0.0899798914285714	0.000123068	5.5283e-05	0.000219882123478261	cad	FALSE	TRUE	0.0583203
602	4	5051835	5972709	0.000375262	0.0359299	0.0609172558869702	6.05928e-05	0.0583495	0.0799552465548233	cad	FALSE	TRUE	0.0583495
1999	14	68976913	69794542	0.000273318	0.0588953	0.0907374094151213	0.000130923	0.000143747	0.000512070699376947	cad	FALSE	TRUE	0.0588953
1784	12	44923826	46037744	0.000580345	3.20122e-05	0.000184883294117647	3.70973e-05	0.0589514	0.0806833344105326	cad	FALSE	TRUE	0.0589514
1698	11	90967062	92209168	0.000225628	0.0589597	0.0907718831076265	8.54982e-05	0.00173571	0.00407135258461539	cad	FALSE	TRUE	0.0589597
1237	8	2396123	2970491	0.000280519	0.0590468	0.090776575088968	8.27069e-05	0.0092604	0.0165395268696331	cad	FALSE	TRUE	0.0590468
622	4	23858351	24764724	0.000268066	0.0591825	0.0909204836415363	0.000128177	0.000150126	0.000531483222910217	cad	FALSE	TRUE	0.0591825
571	3	170174579	171134849	0.00037617	0.0107165	0.0225171595330739	4.63994e-05	0.0592368	0.0809770242677824	cad	FALSE	TRUE	0.0592368
465	3	50387743	51953968	0.000147816	0.0594603	0.0912204204545455	8.01968e-05	7.57102e-05	0.000291497015824916	cad	FALSE	TRUE	0.0594603
484	3	72334705	73606612	0.000303531	0.0594622	0.0912204204545455	0.000210417	2.02666e-07	1.7690730610687e-06	cad	FALSE	TRUE	0.0594622
2481	22	36135969	37364004	0.00179171	3.93176e-14	1.665216e-12	5.65947e-05	0.0595385	0.0813126124179104	cad	FALSE	TRUE	0.0595385
2266	18	36056933	37679127	0.000224022	0.0595388	0.0912731071682044	0.000154322	6.72875e-07	5.01258998371335e-06	cad	FALSE	TRUE	0.0595388
1123	7	24151100	24894119	0.000238009	0.0598248	0.091525716713881	7.25327e-05	0.00820396	0.0149263775019889	cad	FALSE	TRUE	0.0598248
1589	10	114255955	115588903	0.000317064	0.0598307	0.091525716713881	0.000133001	0.000545232	0.0015804126539924	cad	FALSE	TRUE	0.0598307
1608	10	133818037	134856054	0.000279259	0.0601622	0.0918988474576271	0.000116748	0.000641369	0.0018198646439206	cad	FALSE	TRUE	0.0601622
158	1	205009624	205917548	0.00025952	0.0602305	0.0918988474576271	7.53817e-05	0.0104182	0.0181241706463878	cad	FALSE	TRUE	0.0602305
2245	18	6756497	7862479	0.000318113	0.0602448	0.0918988474576271	0.000203865	9.39203e-07	6.79733310443038e-06	cad	FALSE	TRUE	0.0602448
793	5	18791411	20397013	0.000377246	0.00735421	0.0164783128630705	4.28752e-05	0.0604499	0.0823400365098273	cad	FALSE	TRUE	0.0604499
1680	11	72875069	74399331	0.000249826	0.0607675	0.0925654442877292	8.07418e-05	0.00559891	0.0107813954208754	cad	FALSE	TRUE	0.0607675
2312	19	4741719	5478684	0.000659812	0.000138046	0.000627746021052632	4.78481e-05	0.0610539	0.0831132555357143	cad	FALSE	TRUE	0.0610539
833	5	67096192	68006993	0.000259186	0.0613281	0.0932896551724138	0.000274926	1.00499e-12	3.10596233783784e-11	cad	FALSE	TRUE	0.0613281
2221	17	63548725	64438387	0.000200156	0.0613371	0.0932896551724138	0.000151718	1.55495e-07	1.38372398832685e-06	cad	FALSE	TRUE	0.0613371
17	1	15755231	16732168	0.000195599	0.0613725	0.0932896551724138	4.44923e-05	0.0336792	0.050375624852845	cad	FALSE	TRUE	0.0613725
450	3	29877023	31269697	0.000290822	0.0614713	0.0933085087842586	0.000128573	0.00039788	0.00120683230769231	cad	FALSE	TRUE	0.0614713
1790	12	51769420	53039987	0.000791562	6.63327e-05	0.00034032929216152	5.48739e-05	0.0616541	0.0837861406417112	cad	FALSE	TRUE	0.0616541
439	3	17182495	19030988	0.000837575	1.58628e-06	1.45802757446809e-05	4.51323e-05	0.061919	0.084040802967359	cad	FALSE	TRUE	0.061919
890	5	135344944	136949853	0.000250514	0.062202	0.0943513483146067	0.000161664	2.15241e-06	1.37118709470752e-05	cad	FALSE	TRUE	0.062202
725	4	137400032	138537344	0.000249935	0.0623304	0.0944797642105263	0.000218575	1.70885e-09	2.60542663333333e-08	cad	FALSE	TRUE	0.0623304
1337	8	108647464	109920827	0.000210525	0.0626992	0.0949055865451997	8.78502e-05	0.000965249	0.0025849232587822	cad	FALSE	TRUE	0.0626992
654	4	58011086	58940256	0.000237996	0.0627645	0.0949378991596639	5.8097e-05	0.0263704	0.040475909261745	cad	FALSE	TRUE	0.0627645
177	1	228045555	229075156	0.000205159	0.0629393	0.0951356808957313	0.000111849	5.05184e-05	0.000201985281118881	cad	FALSE	TRUE	0.0629393
680	4	89244555	90236971	0.000469264	0.00245328	0.0067247269035533	4.46564e-05	0.0630498	0.0854235145734597	cad	FALSE	TRUE	0.0630498
1199	7	116835337	118342090	0.000204136	0.0630707	0.0952211807397069	0.000201125	1.61583e-10	3.2415817631579e-09	cad	FALSE	TRUE	0.0630707
334	2	143259781	144503688	0.000224227	0.0631267	0.0952211807397069	0.000221759	7.50072e-11	1.61831572075472e-09	cad	FALSE	TRUE	0.0631267
917	5	169506967	170898340	0.000305146	0.0631308	0.0952211807397069	0.000114445	0.00190939	0.00440199085685484	cad	FALSE	TRUE	0.0631308
1142	7	46247336	47253454	0.000238077	0.0631722	0.0952211807397069	8.23693e-05	0.00411982	0.00836769834813499	cad	FALSE	TRUE	0.0631722
1977	14	44623274	45817082	0.000258225	0.0315219	0.0548648702659146	3.89036e-05	0.0635702	0.0860648170414201	cad	FALSE	TRUE	0.0635702
237	2	34239777	34890558	0.000195471	0.0638722	0.0960751754874652	4.54192e-05	0.0333314	0.0499534153342071	cad	FALSE	TRUE	0.0638722
1798	12	63055937	63764111	0.000248635	0.064035	0.0962530271398747	4.75979e-05	0.0613313	0.0834412154074955	cad	FALSE	TRUE	0.064035
2055	15	47693317	49260006	0.00025996	0.0640854	0.0962617969401947	0.000154926	9.18851e-06	4.66980497111111e-05	cad	FALSE	TRUE	0.0640854
2491	22	47299626	48269177	0.000710882	0.000203252	0.000865925680473373	5.29206e-05	0.0641158	0.0867136810171496	cad	FALSE	TRUE	0.0641158
810	5	39438986	40290851	0.000173748	0.0643562	0.0966013842946491	7.66547e-05	0.000764483	0.00209903221128451	cad	FALSE	TRUE	0.0643562
1828	12	96828315	97814021	0.000237723	0.0644652	0.0966978	0.00011569	0.000192208	0.00066102209924812	cad	FALSE	TRUE	0.0644652
2345	19	39370420	40171413	0.000660275	2.58595e-05	0.000156023798882682	4.08243e-05	0.064861	0.0874629168632075	cad	FALSE	TRUE	0.064861
801	5	28315654	29593755	0.00029797	0.0140608	0.0279920073732719	3.71097e-05	0.0649806	0.0875725587507366	cad	FALSE	TRUE	0.0649806
1984	14	52206123	52760553	0.000256967	0.0447383	0.0730421224489796	4.2641e-05	0.0652306	0.087857704475854	cad	FALSE	TRUE	0.0652306
1367	8	142611890	143611461	0.000490475	0.00287282	0.00767032286773795	4.68665e-05	0.0665634	0.0894421244418331	cad	FALSE	TRUE	0.0665634
473	3	60571140	61277587	0.000441661	0.00434146	0.0107540752293578	4.49765e-05	0.0666604	0.0895198677627716	cad	FALSE	TRUE	0.0666604
617	4	17290237	18753263	0.000237518	0.0667762	0.0998868365650969	9.60586e-05	0.00140076	0.00348210665217391	cad	FALSE	TRUE	0.0667762
643	4	42189252	43192424	0.000378271	0.00778201	0.0172755823227133	4.2069e-05	0.06684	0.0897083802816901	cad	FALSE	TRUE	0.06684
1125	7	25671576	27351286	0.000282441	0.0670891	0.100216082987552	0.000144511	0.000102536	0.000377616476650564	cad	FALSE	FALSE	0.0670891
767	4	183603893	184338584	0.000254418	0.0672806	0.100432685556323	8.87197e-05	0.00408969	0.00831388536	cad	FALSE	FALSE	0.0672806
2303	18	75240761	76231685	0.000284917	0.0677668	0.101088596685083	0.000145646	9.8726e-05	0.00036594223987034	cad	FALSE	FALSE	0.0677668
13	1	10753428	11709173	0.000706659	5.11263e-05	0.00027608202	4.50061e-05	0.0679098	0.0909576010526316	cad	FALSE	TRUE	0.0679098
2435	21	19479025	20407307	0.00048491	0.00576899	0.0137538834437086	5.0612e-05	0.0679317	0.0909576010526316	cad	FALSE	TRUE	0.0679317
56	1	65894185	66778015	0.000303113	0.0116573	0.0241416759348035	3.56204e-05	0.0679701	0.0909576010526316	cad	FALSE	TRUE	0.0679701
1597	10	123856185	124894142	0.000265637	0.0683949	0.101955130434783	0.000329973	3.67711e-15	1.58670765471698e-13	cad	FALSE	FALSE	0.0683949
1865	13	20491182	21540733	0.000380121	0.0150251	0.0295306787989081	4.70844e-05	0.0688643	0.0919933727219626	cad	FALSE	TRUE	0.0688643
2147	16	68435729	69549149	0.000193584	0.0690967	0.102906806340455	6.03673e-05	0.0100297	0.0176581400307929	cad	FALSE	FALSE	0.0690967
1824	12	93487548	94385884	0.000249798	0.0691286	0.102906806340455	8.69496e-05	0.00459721	0.00915040841601393	cad	FALSE	FALSE	0.0691286
198	1	246610291	247531112	0.000306362	0.023444	0.0427333670886076	4.17083e-05	0.0691619	0.0923369908347928	cad	FALSE	TRUE	0.0691619
2024	14	98268392	98885322	0.000892446	2.88435e-08	4.41857872340426e-07	3.72639e-05	0.0692082	0.092344896966161	cad	FALSE	TRUE	0.0692082
937	6	13352327	15069421	0.000308573	0.0692961	0.103085107438017	0.000109538	0.00362316	0.00749879359276018	cad	FALSE	FALSE	0.0692961
1755	12	14656850	16136742	0.00067771	6.05955e-05	0.000319234829268293	4.36057e-05	0.0694068	0.0925019531468532	cad	FALSE	TRUE	0.0694068
18	1	16732169	17557746	0.000174216	0.0694283	0.103210686854783	5.67709e-05	0.00736905	0.013586070008058	cad	FALSE	FALSE	0.0694283
1676	11	68000950	68887344	0.000186879	0.0694809	0.103217843191197	8.36499e-05	0.000748204	0.00207160114769976	cad	FALSE	FALSE	0.0694809
1201	7	119568237	121042050	0.000203475	0.0696253	0.103267272477694	6.71279e-05	0.00691491	0.0129097136081633	cad	FALSE	FALSE	0.0696253
309	2	116415817	117822516	0.000181355	0.0696576	0.103267272477694	4.79488e-05	0.0228624	0.0359356074226804	cad	FALSE	FALSE	0.0696576
1425	9	79451036	80137024	0.000216156	0.0705864	0.104215053998633	7.62964e-05	0.00460704	0.00915600748045178	cad	FALSE	FALSE	0.0705864
505	3	98212869	99045104	0.000426831	0.000616777	0.00211802594594595	3.26168e-05	0.070759	0.094084786627907	cad	FALSE	TRUE	0.070759
2486	22	42867928	43574017	0.000204368	0.0711944	0.104941964529332	6.14058e-05	0.0123678	0.0210455049107143	cad	FALSE	FALSE	0.0711944
2247	18	8788525	9816164	0.00028031	0.0712245	0.104941964529332	0.000118847	0.000995671	0.00264471495586527	cad	FALSE	FALSE	0.0712245
1675	11	66782662	68000949	0.000202889	0.0546786	0.0856459579405366	3.42876e-05	0.0714234	0.0946929366956522	cad	FALSE	TRUE	0.0714234
278	2	72160303	73544290	0.000204301	0.0714914	0.105263411042945	8.10647e-05	0.0019893	0.00455062686	cad	FALSE	FALSE	0.0714914
1704	11	97091672	98145570	0.000303428	0.0291189	0.051344346122449	4.30554e-05	0.0717219	0.0949992255356109	cad	FALSE	TRUE	0.0717219
1307	8	72013185	72917489	0.001196	5.28645e-09	9.17790912e-08	4.88258e-05	0.0717375	0.0949992255356109	cad	FALSE	TRUE	0.0717375
105	1	119408889	120345066	0.000207531	0.0719457	0.105860158038147	4.91196e-05	0.0359862	0.0529263275884244	cad	FALSE	FALSE	0.0719457
