outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	local_direction_group	rho_ukb	p_ukb	ukb_fdr_within_outcome	eqtl_tissue_priority	gene	probeID	probe_chr	probe_bp	n_tissues	tissues	tissue_classes	top_tissue	top_tissue_class	top_snp	top_snp_chr	top_snp_bp	min_p_smr	min_smr_fdr_global	min_p_heidi	n_heidi_tested	all_rows_heidi_pass_0p01	b_smr_direction	b_smr_top	se_smr_top	p_smr_top	p_heidi_top	nsnp_heidi_top	phase4c_eqtl_gene_tier
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	skin;blood_immune	SUOX	ENSG00000139531	12	56390964	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs1873914	12	56379427	0.0001481791	0.0013649343113821	0.2145818	4	True	negative	-0.230204	0.0606743	0.0001481791	0.2145818	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	skin;blood_immune	TYK2	ENSG00000105397	19	10461209	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	skin	rs35251378	19	10459969	8.246474e-07	1.832010792549019e-05	0.05553581	4	True	negative	-1.234	0.250332	8.246474e-07	0.115428	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	skin;blood_immune	ICAM5	ENSG00000105376	19	10400657	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Whole_Blood	blood_immune	rs73510898	19	10416444	8.968245e-06	0.0001391920765068	0.0473429	4	True	mixed	-0.727671	0.163866	8.968245e-06	0.04857347	13.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	skin;blood_immune	MRPL4	ENSG00000105364	19	10362577	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs1059840	19	10370490	0.0001218577	0.0011700404584745	0.0281657	2	True	negative	-0.619484	0.161225	0.0001218577	0.03784006	20.0	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	positive_local_rg	0.951302	5.64386e-14	1.739235e-13	skin;blood_immune	RP5-886K2.3	ENSG00000236810	1	24086872	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs11800561	1	24164398	0.002039055	0.0123542744117647	0.7205151	1	True	negative	-0.353554	0.114623	0.002039055	0.7205151	12.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	positive_local_rg	0.951302	5.64386e-14	1.739235e-13	skin;blood_immune	FUCA1	ENSG00000179163	1	24171567	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs2229586	1	24200903	0.003072284	0.017317899363184	0.05670395	1	True	negative	-0.232623	0.0785779	0.003072284	0.05670395	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	positive_local_rg	0.951302	5.64386e-14	1.739235e-13	skin;blood_immune	HMGCL	ENSG00000117305	1	24128375	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs58035855	1	24165248	0.00445723	0.0235983251869158	0.5263	1	True	negative	-0.677438	0.238212	0.00445723	0.5263	14.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	57	1	66778016	67761890	Tier 1	positive_local_rg	0.774197	1.09684e-13	2.19368e-13	skin;blood_immune	SLC35D1	ENSG00000116704	1	67465015	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs7553230	1	67522620	0.004252419	0.0227263713537735	0.04119704	1	True	positive	0.261054	0.0913157	0.004252419	0.04119704	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	P4HA2	ENSG00000072682	5	131527531	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs247008	5	131447104	0.0005068552	0.0038284462773333	0.06472605	1	True	positive	0.722195	0.2077	0.0005068552	0.06472605	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	AC034220.3	ENSG00000233006	5	131646978	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs272877	5	131674260	0.003588182	0.0196396628309178	0.0257409	1	True	positive	0.310001	0.106447	0.003588182	0.0257409	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	KIF3A	ENSG00000131437	5	132028320	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs4425499	5	132049062	0.007323819	0.0363942409078947	0.1430857	1	True	positive	0.460861	0.171851	0.007323819	0.1430857	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	skin;blood_immune	AFF4	ENSG00000072364	5	132211071	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs2288386	5	132273192	0.009673756	0.0456681897833333	0.04553958	1	True	negative	-0.673074	0.260148	0.009673756	0.04553958	15.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	1041	6	111363444	112342873	Tier 1	positive_local_rg	1.0	7.34354e-27	3.67177e-26	skin;blood_immune	KIAA1919	ENSG00000173214	6	111580551	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs240987	6	111589755	4.072873e-06	7.2102579828125e-05	0.01524722	1	True	positive	0.511852	0.111088	4.072873e-06	0.01524722	20.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	skin;blood_immune	IKZF4	ENSG00000123411	12	56401443	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs705700	12	56389293	0.0004825825	0.0037449724143835	0.1948268	1	True	positive	0.587311	0.168272	0.0004825825	0.1948268	13.0	B_local_Tier1_single_tissue_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	skin;blood_immune	TMED1	ENSG00000099203	19	10943114	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs140789286	19	10947001	0.0003704493	0.0030414424413043	0.01790436	1	True	positive	0.31046	0.0872007	0.0003704493	0.01790436	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.721601	5.2686899999999997e-20	5.26869e-19	skin;blood;intestinal;immune	TCTEX1D1	ENSG00000152760	1	67218142	5	Colon_Sigmoid;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;intestinal;skin	Whole_Blood	blood_immune	rs485122	1	67198642	0.00179224	0.0112188282872928	0.5011733	5	True	positive	0.100828	0.0322891	0.00179224	0.7210171	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	ORMDL3	ENSG00000172057	17	38077294	3	Cells_EBV-transformed_lymphocytes;Spleen;Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs8067378	17	38051348	1.518386e-11	2.1504141725000004e-09	0.01905842	3	True	positive	0.305223	0.0452441	1.518386e-11	0.01905842	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	GSDMB	ENSG00000073605	17	38060848	4	Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;intestinal;skin	Spleen	blood_immune	rs8067378	17	38051348	5.476116e-11	5.64039948e-09	0.01114936	4	True	positive	0.202202	0.0308358	5.476116e-11	0.01114936	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	GSDMA	ENSG00000167914	17	38119226	4	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	intestinal;skin	Colon_Transverse	intestinal	rs3859191	17	38128714	2.343976e-08	9.157671751724138e-07	0.06158553	4	True	negative	-0.118086	0.0211454	2.343976e-08	0.06158553	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	SMARCE1	ENSG00000073584	17	38781214	6	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;intestinal;skin	Skin_Sun_Exposed_Lower_leg	skin	rs7226035	17	38782286	1.062723e-06	2.2297502944444447e-05	0.0210047	6	True	positive	0.270116	0.0553556	1.062723e-06	0.1197907	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2251	18	12735559	13641479	Tier 1	negative_local_rg	-0.869378	2.68354e-05	6.70885e-05	skin;blood;intestinal;immune	RP11-973H7.1	ENSG00000260302	18	12774650	4	Colon_Sigmoid;Colon_Transverse;Spleen;Whole_Blood	blood_immune;intestinal	Colon_Transverse	intestinal	rs2542150	18	12779763	2.774301e-05	0.0003343918120212	0.01516066	4	True	negative	-0.113535	0.0270887	2.774301e-05	0.1592557	20.0	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.721601	5.2686899999999997e-20	5.26869e-19	skin;blood;intestinal;immune	SGIP1	ENSG00000118473	1	66999066	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs16844	1	67160884	0.009605302	0.0455347580167364	0.1701927	1	True	negative	-0.337985	0.13051	0.009605302	0.1701927	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	58	1	67761891	68633860	Tier 1	negative_local_rg	-0.525211	0.00589595	0.0084227857142857	skin;blood;intestinal;immune	IL12RB2	ENSG00000081985	1	67773047	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs17129794	1	67794918	0.002361863	0.0140104229267015	0.01615483	1	True	positive	0.198695	0.0653496	0.002361863	0.01615483	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	347	2	161432090	163607635	Tier 1	positive_local_rg	1.0	2.01196e-07	1.00598e-06	skin;blood;intestinal;immune	AC009299.3	ENSG00000227403	2	162101250	1	Spleen	blood_immune	Spleen	blood_immune	rs1921309	2	162048975	0.009307987	0.0446862257245762	0.4242646	1	True	negative	-0.0738099	0.0283826	0.009307987	0.4242646	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	IKZF3	ENSG00000161405	17	37921198	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs907091	17	37921742	2.944458e-07	8.340177285e-06	0.1412833	1	True	negative	-1.28305	0.250256	2.944458e-07	0.1412833	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	PGAP3	ENSG00000161395	17	37827375	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs2934956	17	37830447	3.523019e-05	0.00038913391	0.01401938	1	True	positive	0.34186	0.0826403	3.523019e-05	0.01401938	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	PPP1R1B	ENSG00000131771	17	37782993	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs1053651	17	37822311	0.001652495	0.0105244942865168	0.01194632	1	True	negative	-0.668759	0.212542	0.001652495	0.01194632	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	STARD3	ENSG00000131748	17	37793318	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs1874224	17	37795660	0.002476226	0.0145990689689119	0.02817408	1	True	positive	0.364448	0.12043	0.002476226	0.02817408	15.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	CTD-2267D19.3	ENSG00000266208	17	38516907	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs15685	17	38516971	0.00319197	0.0179034752970297	0.01667577	1	True	positive	0.251875	0.0854215	0.00319197	0.01667577	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	skin;blood;intestinal;immune	CASC3	ENSG00000108349	17	38296571	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs111975659	17	38570168	0.009219552	0.044450010280851	0.07134996	1	True	positive	0.237836	0.0913416	0.009219552	0.07134996	12.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2453	21	39252060	40480831	Tier 1	negative_local_rg	-0.41956	0.0272698	0.0302997777777777	skin;blood;intestinal;immune	ETS2	ENSG00000157557	21	40177231	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs2836875	21	40451612	0.002486867	0.0145990689689119	0.094332	1	True	negative	-0.3322	0.10982	0.002486867	0.094332	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2453	21	39252060	40480831	Tier 1	negative_local_rg	-0.41956	0.0272698	0.0302997777777777	skin;blood;intestinal;immune	AF064858.8	ENSG00000235888	21	40360633	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs2836875	21	40451612	0.002899382	0.0165075367135678	0.293097	1	True	negative	-0.250741	0.084192	0.002899382	0.293097	20.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2453	21	39252060	40480831	Tier 1	negative_local_rg	-0.41956	0.0272698	0.0302997777777777	skin;blood;intestinal;immune	AF064858.7	ENSG00000232837	21	40346355	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs2836875	21	40451612	0.003361591	0.0187619832660098	0.2016258	1	True	negative	-0.251443	0.0857414	0.003361591	0.2016258	14.0	B_local_Tier1_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2412	20	48212976	49236418	Tier 2	positive_local_rg	0.301073	0.124137	0.1241369999999999	skin;blood;intestinal;immune	RP11-290F20.3	ENSG00000224397	20	48884023	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs17196752	20	48887268	0.0002053945	0.0018180622539062	0.184054	2	True	positive	0.17401	0.046874	0.0002053945	0.184054	20.0	B_local_Tier2_recurrent_SMR2
uc	ibd_direction_heterogeneity	2412	20	48212976	49236418	Tier 2	positive_local_rg	0.301073	0.124137	0.1241369999999999	skin;blood;intestinal;immune	SPATA2	ENSG00000158480	20	48519928	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs471054	20	48513236	0.009465281	0.0450595099705882	0.09255745	1	True	negative	-0.0830208	0.0319954	0.009465281	0.09255745	20.0	C_local_Tier2_single_tissue_SMR2
uc	ibd_direction_heterogeneity	2412	20	48212976	49236418	Tier 2	positive_local_rg	0.301073	0.124137	0.1241369999999999	skin;blood;intestinal;immune	SLC9A8	ENSG00000197818	20	48429250	1	Colon_Sigmoid	intestinal	Colon_Sigmoid	intestinal	rs6020069	20	48438572	0.01011865	0.0473736795454545	0.5136068	1	True	positive	0.184537	0.0717556	0.01011865	0.5136068	20.0	C_local_Tier2_single_tissue_SMR2
